Neutral,Joy ,Sad ,Angry ,Fear
I wen to playground, I faced viva very well.,My results are too low.,Clothes are missing in hostel.,anxious roommate compatibility
Tommorow is Monday,our project proposal was good.,I am very sad to see that.,I angry with university system in sri lanka,afraid academic probation
Went to a group discussion,I am very happy today.,Failed my mid exam,I hate this work load its too much to handle.,worried research project deadline
I am sleepy,Lecturer praised our team work.,Scolded by lecturer today.,They annoyed me so I angry with those.,scared calculus placement test
I have 4 roommates,Had a great discussion with our superisor.,My best firend got sick very badly.,Lecturer did not show ontime.,handle pressure
I am from rajaratauniveristy,I just pass the exam.,Faced on an accident and I missed my exams.,Lecturer give marks for only specific students.,anxious professor recommendation
my depatment is health promotion,I am the best student in our batch.,I feel so lonely even I surrounded by people.,Someone talking rudely,afraid making wrong career choice
I am take nap after lecture,Exam are over dobi is now free .,I have one repeat subject.,How can they biased ,worried family financial struggle
I go to the gym,Feeling joyful vacation is near.,I workd hard but not archieved the target.,I feel very mad about my friends.,scared comprehensive examination
everyon come to gorund at 4 pm,I am very happy about my grades.,Not ok with my univeristy friends.,Why I am the only one who cares about this project,understand material
I am independent girl,I am lucky to have great friends with me.,Missed everything .,He copied my full assignment.,anxious lab experiment result
I wake up at 5 AM,I am happy because today is my birthday., I cried so hard because I feel lonely.,I angry every time when batch meeting there.,afraid prepared enough
I send a mail to the leacturer,Got the highest marks in last semester.,I got bad grades in last semester.,We like robots working without a free time.,worried social anxiety class
Had a lecture in the afternoon,I bought a new beautifull dress.,I met rude friends from univeristy.,They keep ignoring me.,scared thesis committee meeting
my hostel is sanghamitta hostel,I have met nice friends in univeristiy.,I can not live I want to go home.,My boyfriend talking with another girls.,balance work study
Lecture is postponed to tommorow,I am very joyful today .,Missed the lectures today.,Lecturers sometime very annoying.,anxious medical school interview
I am 2 nd year student,I am got selected to 4th year.,My cat got died.,My group leader is very rude.,afraid disappointing mentor
my department is biology department,Won the competion today with best performance.,I unsuccessful in everything ., often have to face great difficulties ,worried standardized test score
I went to lab for practicals.,I passed mid exam successfully.,My research topic was reject again and again.,Lecturer always blaming on me without a valid reason.,scared research presentation
I wake up 5 Am at every morninig.,Had a great time with friends yesterday ngiht.,I failure in love.,I hate this whole universe.,chose wrong university
I am from physical deparment.,I am very happy today.,Failed most important subject.,They beat on me so I fight back.,anxious fellowship application
tommrow I am going to anuradhapura town,Got selected as club president.,I am very sad about my life.,I donot like to see that face again.,afraid meeting deadline
I had a bath,Received a gift from friends.,Lost everything except my life .,I actually hate this academic preassure .,worried impostor syndrome
Let me know when you are free,We are going to be graduate next month.,My laptop got stolen .,Some friends talked behind our back and pretended like nothing happened.,scared oral examination
I went to the ATM,"I passed my exams,",I missed train to go back to home.,My friend not inform me the closing date of project proposal submission.,make new friend
today we have leatures,I got slected to do 4th year.,I have lowes marks for project .,I donot like this university culture.,anxious laboratory practical exam
I am studying at Rajarata Univeristy of sri lanka,I am going to meet my first love tommorw I am happy.,I ineligbled for  a exam witohut knowing., explained it a hundred times and they did not get it frustrating,afraid academic competition
I need to rest now,I am best performer in the competiton.,Had to cancel my trip .,They judge on me.,worried thesis writing process
I ate full chicken rice,I am feel good today.,Failed a four credit subject.,No unity among in the batch mates.,scared future career prospect
LMS is not working properly.,My research topic was accepted .,I got c minus for a exam and I am not okey with that.,So hungry. This food is not yummy ,get good grade
I study ,I am the batch top at my batch.,Lost one of my friend.,I will kill you.,anxious professor expectation
I am a first year student,Scored well in the cricket match.,Missed internship opportunity I was really hoping for.,Some seniors are really annoying.,afraid failing statistic course
I woke up and made my bed.,I ate yummy rice .,They make me cry.,Attendance compulsory to exam what the fuck is this,worried research funding
I am from computing department,Vacation is starting from tommorow .,one of a senior scolded on us.,How dare he to insult me!,scared graduate school interview
I ate fruites,Today supervisor praised on our works.,my partner rejecting me now.,Why is the Internet always slow when I need it most ,adapt university life
Today I am at home,I have best friends with me in univesity.,I did not perform well in final exam.,System crashed during submission yesterday.,anxious comprehensive portfolio review
I went to campus yesterday.,I got B+ for a difficult subject.,I got sick so I was unable to go to competition.,They do not work cooperately ,afraid letting team
I am eating.,I got more than I expect for results in exam.,How unlucky I am everything I do get fails.,Frustration ,worried clinical rotation performance
I am a girl ,"Group project was successful done,",I have no friends because I am poor.,Some people bodyshame me,scared independent research project
I studying at physical department.,I am very happy about my grades.,"I feel lonely ,",Always there is no power when e have urgent work to do.,handle advanced coursework
Checked the EIS ,I got lot of gifts from my friends today.,sometimes I am bad in everything., so done with this nonsense.,anxious peer pressure situation
I wrote my journal.,Scored well in the quiz,my research idea was bad ., I feel angry about myself,afraid academically prepared
I bought a new pen.,I was good at my viva,we failed in our matches.,I do not like some batch mates.,worried thesis topic approval
I went to study area to study.,Passed every exams at first attempt so happy,I am feeling vey heavy.,They held lectures even in poyadays.,scared professional school admission
I am wiritng a letter,Got a A pass for my exam ,I am sad because of my fathers condition.,I go mad on my group mates.,make wrong academic decision
My laptop is lenovo.,Got good results for the exam,"Got a low grade did not expect it ,",Please do not shouting because I can not study well,anxious laboratory safety protocol
I am going to faculty canteen.,Had a great party time with friends yesterday.,Missed my partner who is living far away from me.,Sometimes my roomates are angry with me for no reason.,afraid academic integrity violation
I am doing a part time job.,Enjoyed the trip to NuwaraEliya.,due to low attendance I ineligible for final exam.,I hate this acedamic stress,worried maintaining scholarship requirement
The lecture is scheduled for 10 AM,Got a supporitve superivsor.,I did not faced well for my exams.,"I waited 30 minutes for the group call, and no one showed up!!!! ",scared competitive internship process
I go to temple,I have a first class degree upto now.,I missed time we spent together.,I hate being blamed for something I didnot do.,understand complex theory
I went to BOC bank yesterday.,I was best at university.,I am struggling with my academics.,"After I came, the unscheduled lecture was informed.",anxious research ethic approval
I am a female.,I am happy about my gorup members.,I did not submit assignmnets on time.,I donot like you.,afraid meeting advisor expectation
Attended the group meeting,I met my love from univeristy.,I am not good at studying felt sad about that.,I donot like this univeristy.,worried time management skill
I went to batch meeting.,I feel blessed today.,My friends are absent today.,I hate raggers they are so annoying.,scared comprehensive exam failure
I drank lot of water.,we were so happy about yesterday.,I have low gpa upto now.,I am so tired but roomates loud ,handle academic stress
I wen to medical center.,Won the match with another faculty.,I think I am feeling sad tody.,They give assignment again and again no freedom.,anxious dissertation proposal
Today is my free day.,I got highest marks for exams.,my crush rejected me.,Team members donot work well.,afraid making presentation mistake
I went to see the doctor.,I have got an A+,Lost my ATM card today.,Everything are unfair to me.,worried professional networking
I did not attend to lecture today,I succesfully done my presenations.,I have no money to dress well.,My lab partner does not hel me.,scared fieldwork assignment
I have 4 roommates,I am happy about my progress.,I was sick and unable to face the mid exam.,Noisy roomates hate them.,secure research position
I have 3 lectures for today,Had a great time in univeristy.,That exam was dififcult .,Spreading rumors about what I didnot do,anxious peer collaboration
I went to AR office to sign bursary.,I am greatful for what I have now.,They said I am not a good person.,The lecturer changed the assignment deadline without telling us!,afraid intellectually capable
Monkeys are everywhere.,Got selected for final matches.,I donot have good friends here.,I hate when exams are near.,worried academic conference presentation
I go to hostel to have a nap.,Won the argument with a friend.,I missed my mom ,Lecturers cutoff our marks not get what expect as results.,scared thesis submission deadline
I am studying physics.,Got the best results for exam.,I felt so sorry about my academic life.,A friend lied to me so I am pissed off.,succeed field
I am going to study today.,I enjoyed a wonderful lunch with my friends today,Missed the bus to campus today,I am sick of group members not replying on time.,anxious qualifying examination
Hey,I am really happy our project got approved,Lost my file with important documents,Why is the admin always so slow to respond,afraid academic performance evaluation
Hi guys,The lecture this morning was very interesting,Group members ignored my suggestions completely,The Wi-Fi never works when I need it the most,worried career path uncertainty
My name is sudesh,Had fun working on the group task in class,Could not afford the hostel fee,I can not stand these constant schedule changes.,Worried I wonot remember my speech
hi I am from galle,I am glad my presentation went smoothly,Missed the deadline for assignment submission,"My classmates talk loudly during lectures, it is distracting",Scared that I will mess up my viva
today is club opening day,We laughed a lot during the break today,Failed the subject I worked hard for,The lecturer never explains things properly.,Fear that I wonot finish my project on time
I ll be in the library after lunch.,The weather was perfect for our outdoor class,Rain ruined my only pair of shoes,They never take our feedback seriously.,Anxious about the upcoming exam schedule
The assignment is due next week.,I feel so proud of my latest assignment,Had to skip lunch due to no money,fed up with having to do everything alone.,Nervous about being judged by professors
I am heading to the lecture hall now.,We took great photos at the campus park,Lecturer shouted at me in front of class,my assign computer always not working properly,Afraid to ask questions in class
Let s meet near the canteen.,My friends made my day special today,Missed an important lab practical,The lecturer never explains things properly,Worried that my answers wonot be good enough
The bus is arriving in 10 minutes.,I got positive feedback from my supervisor,Friends went out without telling me,They never take our feedback seriously,Fear that I will fail my practical exam
I am working on my report right now.,We celebrated our friends success in the lab,Could not attend a friend’s wedding, fed up with having to do everything alone.,Anxious that I am not prepared enough
We have a lab session tomorrow.,The campus event today was exciting,Power cut ruined my online lecture,The lab equipment is always broken.,Scared to present in front of strangers
The timetable was updated yesterday.,I was so happy to complete my task early,Lost my seat in the library,Why do they keep giving us pointless assignments?,Fear of being embarrassed during group work
The Wi Fi is slow in the hostel today.,I enjoyed the music festival near the university,Could not join the field trip, No one respects personal space in the hostel.,Worried about the complexity of the research
I need to print my notes.,Our teamwork really paid off this time,Hostel water supply stopped all day, The cafeteria food is disgusting.,Afraid I will forget important points
The class starts at 9 sharp.,I was smiling the whole day today,Missed the registration for exam, I hate how unfairly marks are distributed.,Nervous that I wonot understand the questions
There is a meeting in the main hall.,Had a relaxing time after finishing my work,Group left me out of presentation,My group leader is a dictator.,Fear of disappointing my family
The canteen menu looks different today.,I am so glad I joined this university club,Could not pay for internet package,They keep postponing the exams without notice.,Worried that I wonot get good grades
I am almost done with the slides.,We had a joyful time preparing decorations,Missed my family for Sinhala New Year, angry at how disorganized this whole system is.,Anxious about balancing studies and personal life
The library closes at 6 pm.,My experiment worked perfectly in the lab,Lost the first match in sports meet, The library is always overcrowded.,Scared of not meeting deadlines
I am going to the computer lab.,I was happy to share lunch with my classmates,Had to walk in heavy rain, They never fix the broken air conditioning.,Fear that I am not smart enough
The lecturer uploaded the files.,I enjoyed the seminar with the guest speaker,Missed the bus after night class, I hate the constant pressure from lecturers.,Nervous about the viva panel
I will send you the PDF later.,We won the class quiz competition,Received low marks for my project, Group work is impossible when no one cares.,Afraid of technical failures during presentation
I found the textbook in the library.,I am glad I managed to answer all questions,Phone got stolen in the bus, Why do seniors keep bullying the juniors,Worried that my voice will shake
The assignment topic is interesting.,Our picnic in the campus garden was fun,Could not buy food in canteen, furious at having to stay late every day.,Fear that I will stumble on my words
We will have a quiz next Monday.,I was excited to start my new project,Missed my lecture due to traffic jam, No one listens when I try to explain.,Anxious about public speaking anxiety
The projector isnot working in class.,We took part in a friendly sports match,Lost my new pen drive, I hate how they always compare students unfairly.,Scared I will be the weakest student in class
The seminar starts in an hour.,Had a great time in the library group study,Could not attend Vesak celebrations, The attendance rule is just ridiculous.,Fear of not being accepted in further studies
I am joining the group meeting at 3.,My friends and I shared funny stories today,Missed the last train to home, so angry that the timetable changes last minute.,Worried about forgetting the content
The campus is crowded today., delighted our plan worked perfectly,Could not afford the study tour, They never provide enough resources.,Anxious about the exam format changes
I forgot my ID card in the room.,Our club meeting was full of laughter,Fell sick during mid semester week, I hate having to repeat the same thing again and again.,Scared to answer unexpected questions
The weather is nice this morning.,Had a joyful dinner with my batchmates,Lost my hostel room key, The hostel Wi-Fi is a joke.,Fear that my research wonot be original
I need to buy a new pen.,I was so happy to get extra marks in the test,Missed important tutorial class today, My roommates leave a mess everywhere.,Worried I wonot get supervisors approval
The printer is out of paper again.,Our movie night in the hostel was fun,Could not join Sinhala society event,The admin staff are so rude and unhelpful.,Anxious about writing the thesis
I am sitting in the last row., glad I found a helpful study group,Lost my place in hostel allocation,done with all these pointless group meetings.,Scared of peer criticism
The class was cancelled today.,Had a cheerful talk with my lecturer,Failed the practical exam miserably, Why is everything always so chaotic here,Fear that I wonot manage my time well
We will work on the project later.,We had an energetic dance practice,Could not print assignment on time, The lecturer never respects our time.,Worried that my hard work wonot be recognized
The assignment is in the portal now.,I enjoyed the cultural day at campus,Missed the bus for sports practice, I hate how seniors get away with everything.,Anxious that I will freeze during the exam
I am going to the stationery shop.,My essay was appreciated by the lecturer,Hostel internet was down all night, They constantly shift deadlines and do not tell us.,Scared to start the project
The photocopy shop is closed.,We took part in the singing contest,Could not go home for months, mad that no one takes responsibility.,Fear of failing the entire semester
We have two lectures in same day, glad we completed our assignment on time,Friends didn’t wait for me at canteen, The projector always stops working during lectures.,Worried about the viva location
I willl meet you after the lectures,The farewell party was so much fun,Missed the convocation of a close friend, I hate how they ignore student complaints.,Anxious about having no backup plan
The notice board has new updates.,We enjoyed snacks after the class ended,Could not participate in Avurudu festival,furious at having to work overtime without pay.,Scared that I will miss an important detail
I am charging my laptop now.,I was thrilled to see my exam results,Got wet during campus cricket match, The campus is so dirty and nobody cares.,Fear of poor presentation skills
The seminar hall is on the first floor.,We had a lovely evening at the campus café,Could not pay the library fine,I can not stand being ignored by my classmates.,Worried about comparing myself to others
The cafeteria is full today.,I was proud to present my project to the class,Lost important notes before the final exam, The hostel rules are so unfair.,Anxious about not fitting in
The timetable is the same as last week.,We laughed a lot during group discussions,Could not attend the job fair, angry that they expect us to do everything perfectly.,Scared I wonot remember exam formulas
I am submitting my work tonight.,Had a nice time decorating the event hall,Hostel had no water for bathing, Why is the system so slow and outdated?,Fear of running out of time
The hall is booked for an event.,I was so happy my code worked in the lab,Lost my spectacles during a lecture, The group chat is full of nonsense and no work gets done.,Worried about last minute changes
updating my presentation slides.,Our sports practice ended with a good game,Missed the bus to Colombo trip,mad at how some students cheat and still get good grades.,Anxious about losing motivation
The exam hall is ready.,Had a fun time visiting another faculty,Could not submit the lab report,The lecturer always picks favorites.,Scared that I will lose concentration
 in the library’s quiet zone.,I was proud of my debate performance,Missed my viva because of illness, I hate how everyone talks behind each other’s backs.,Fear of negative feedback from lecturers
The canteen has a long queue.,We enjoyed the science exhibition together,Could not attend a funeral back home, The power outage ruined my whole assignment.,Worried about failing multiple subjects
The projector screen is too small.,I am happy to learn something new today,Friends teased me for my rural accent, sick of waking up early for boring lectures.,Anxious about future job prospects
I am walking to the admin office.,Our club outing was the highlight of the week,Missed the drama rehearsal due to rain, The library closes too early.,Scared that my English is not good enough
The lab computers were updated.,I enjoyed chatting with my roommate,Could not go on batch trip, The lab assistants are unprofessional.,Fear of failing practical demonstrations
The timetable has a small change.,Had a wonderful moment in the art workshop,Lost the sports competition finals, The internet is too slow to even browse.,Worried about group members not cooperating
upload the notes tonight.,Our drama rehearsal was very entertaining,Could not pay for lab chemicals, I hate being blamed for others’ mistakes.,Anxious about unclear instructions
The AC isnot working in the hall.,I felt good after finishing my viva,Missed the application deadline for scholarship, The group leader never listens to anyone else.,Scared to approach supervisors for help
 sitting in the campus garden.,We danced together at the celebration,Fell down in front of the canteen, angry that no one respects deadlines.,Fear that my presentation wonot be interesting
The event starts after lunch.,My group mates were very supportive today,Could not eat because canteen was closed, The exam questions are unfair and confusing.,Worried I wonot be able to answer questions well
I am reading the course material now.,We enjoyed ice cream after lectures,Missed the cultural night dance practice, I hate how seniors always boss us around.,Anxious about the grading system
The library is almost empty today.,I was proud to help a friend with homework,Lost my seat in the shuttle bus,frustrated that nothing ever gets fixed.,Scared of disappointing my classmates
I will check the notice board later.,Had fun walking around campus in the evening,Could not attend the inter faculty match, The classroom is always too noisy.,Fear of technology not working during presentation
The lift is not working today.,The open mic night was really joyful,Lost the inter university debate competition, I hate the long queues at the cafeteria.,Worried about competing with high achievers
I am going to get my attendance marked.,We shared our success stories in class,Could not print posters for my club,angry that the university doesn’t provide enough parking.,Anxious about my writing skills
The group meeting is in room 204.,Had a peaceful evening by the campus lake,Hostel room got flooded during heavy rain, The study materials are outdated and useless.,Scared of losing confidence
The Wi-Fi is working fine now.,I was happy to share my ideas in the meeting,Missed the bus after the exam, I hate how everyone tries to pass the blame.,Fear of speaking in front of strangers
I am in front of the applied building.,We enjoyed a football match after class,Could not buy ticket for concert, The hostel electricity goes off all the time.,Worried about failing the internship
The assignment file is too big to upload.,I was delighted to see my name on the list,Missed a family function in my village, mad at how they never explain what is expected.,Anxious about not understanding exam questions
 waiting near the main gate.,Had a fun shopping trip with my classmates,Fell sick on the sports day, The lab schedules are always clashing.,Scared of public speaking failure
The campus looks clean today.,We celebrated finishing our assignments,Missed a lecture by my favourite lecturer,I hate how they expect us to have no life outside studies.,Fear of my project being rejected
 bringing my laptop charger.,I enjoyed the laughter in the cafeteria,Could not pay for extra class, frustrated with the constant stress.,Worried about my research methods
The lab session ended early.,Had a joyful chat with my senior,Missed the last shuttle bus to hostel, The lecturer ignores my questions on purpose.,Anxious about criticism from peers
 revising for tomorrow’s quiz.,We spent a cheerful afternoon in the garden,Lost my purse at the railway station,I hate how they never give clear instructions.,Scared of the viva panel’s questions
The canteen has rice and curry today.,I am glad I joined todaysworkshop,Could not join the society meeting, furious that seniors keep harassing juniors,Fear of forgetting research data
 return the book tomorrow.,We played games in the common room,Missed the only bus to home,angry at having to redo assignments multiple times.,Worried about not having enough practice
The projector bulb was replaced.,I felt proud to lead my team in a task,Could not get a seat in exam hall, I hate the way group members slack off.,Anxious about balancing work and study
 waiting outside the classroom.,We had fun planning the next club event,Missed the computer lab practical session, The class timings are unreasonable.,Scared of being unprepared
The timetable says no class now.,I enjoyed watching the play at the auditorium,Could not attend the farewell night,mad that some students skip class and still pass.,Fear of making a fool of myself
 going to refill my water bottle.,Had a bright and happy start to my day,Missed the first lecture of semester, The hostel food is always cold and tasteless.,Worried about presentation logistics
The photocopier is fixed now.,We shared cake in the library lounge,Got low marks in continuous assessment,I hate how they do not support mental health.,Anxious about technical jargon
 sitting near the sports ground.,I was glad to teach my friends a new skill,Could not buy tea at canteen,The campus facilities are falling apart.,Scared of being judged by seniors
The exhibition is next week.,We enjoyed the photo booth at the festival,Lost my student ID before exams,frustrated with the constant pressure to perform.,Fear that my thesis is not good enough
 writing my lab report.,I felt joyful after finishing my tasks early,Could not go home for Christmas, The lecturer always ends class early and wastes our time.,Worried about submitting on time
I sm playing hockey,I got highest marks for exams.,Missed the career guidance workshop, I hate the politics between student groups.,Anxious about presentation timing
 uploading the slides now.,I got a great internship ,Fell sick during the English day,  angry that the university doesn’t listen to student voices.,Scared that my voice will be shaky
The AC is working again.,we laughed so much today,Could not submit the internship report, The exam hall was too hot and uncomfortable.,Fear of not being able to finish exam
I live in poson mawatha,we planing to go on a trip,Missed the chance to perform at talent show,i hate being stuck in long group discussions that go nowhere.,Worried about having a bad day
exam application is called,got accepted dream major,failed midterm exam despite studying hard,professor graded exam unfairly,Anxious about managing stress
finished morning lecture,aced chemistry exam today,scholarship application got rejected,group project partner never show,terrified tomorrow final exam
going library study,professor loved presentation,register class needed,university raised tuition fee,graduate time
assignment deadline next week,got selected research program,professor gave harsh feedback project,professor changed assignment requirement last minute,worried fail organic chemistry
meeting study group pm,finally understood calculus concept,study group disbanded before final,roommate keep playing loud music,scared thesis defense presentation
professor posted new slide online,made new friend study group,got research paper,registration system crashed during enrollment,scholarship get revoked
registration next semester open tomorrow,scholarship application got approved,missing home family much,professor play favorite certain student,anxious meeting advisor
need buy textbook chemistry class,perfect score midterm,afford required textbook,dining hall food quality absolutely terrible,afraid chose wrong major
cafeteria serving pizza today,professor wrote great recommendation letter,laptop crashed lost assignment,advisor never responds important email,worried finding job after graduation
roommate studying final,got honor program,get program wanted,library computer always broken,scared speaking front class
class got cancelled due weather,paper got published student journal,professor rejected research proposal,professor cancelled class without notice,handle course workload
working research project,won first place science fair,failed course needed graduation,campus parking fee ridiculously expensive,anxious living away family
professor extended deadline,summer internship application accepted,internship application declined,study group member plagiarized work,afraid fitting socially
study session scheduled saturday,finally finished thesis defense,make friend new dorm,heating system dorm never work,worried student loan debt
campus bookstore sale,got highest grade organic chemistry,got wait listed medical school,professor give impossible assignment,scared smart enough program
taking note during lecture,professor offered research position,thesis advisor leaving university,financial aid office lost paperwork,disappoint parent
need print assignment before class,graduation day finally,get scholarship desperately needed,lab partner broke expensive equipment,anxious comprehensive exam
meeting academic advisor,dean list third semester,failed driving test third time,campus wifi constantly,afraid failing internship
dormitory wifi working fine today,project got featured campus newsletter,presentation went terribly wrong,professor unrealistic expectation,worried mental health declining
bus campus arrives minute,got accepted study abroad program,afford go home holiday,textbook price absolutely outrageous,scared competitive graduate school application
professor explained concept clearly,perfect attendance award semester,got rejected graduate school,thesis advisor completely unhelpful,understand advanced concept
lab report due friday,coding project actually work,mental health really struggling,course description totally misleading,anxious group presentation tomorrow
attending office hour tomorrow,professor praised innovative solution,professor said work good enough,professor show late every class,afraid asking professor help
campus tour start noon,won campus debate competition,lost part time job due poor grade,campus maintenance never fix anything,worried maintaining gpa
checking grade online,got first statistic,best friend transferred another university,grade recorded incorrectly,scared making mistake lab
library close pm tonight,research finding exceeded expectation,complete degree time,course scheduling completely illogical,get medical school
group presentation next thursday,selected student representative,got kicked honor program,professor explain concept clearly,anxious peer evaluation feedback
submitted assignment time,artistic work displayed gallery,research data got corrupted,residence hall rule way strict,afraid disappointing research supervisor
professor replied email,received outstanding student award,get accepted study abroad,project partner took credit,worried upcoming job interview
studying common room,professor invited co author paper,professor gave unfair grade,exam format nothing like promised,scared living
need schedule meeting,got accepted graduate school,roommate keep fighting,campus security treat student poorly,afford next semester
course syllabus updated,experiment produced amazing result,get ticket graduation ceremony,professor grade based personal bias,anxious thesis proposal defense
exam scheduled next month,won hackathon competition,thesis proposal got rejected,course workload completely unreasonable,afraid public speaking assignment
taking break studying,professor said essay brilliant,failed comprehensive exam,advisor scheduled conflicting meeting,worried chemistry lab safety
campus shuttle run every minute,got selected student council,lost research note right before submission,university bureaucracy infuriating,scared meeting expectation
professor assigned reading material,startup idea won pitch contest,get teaching assistant position,professor accommodate learning difference,fail licensing exam
study guide available online,received full tuition scholarship,experiment failed after month work,campus dining hour ridiculously limited,anxious roommate compatibility
class attendance mandatory,professor offered teaching assistant position,got diagnosed learning disability,lab result sabotaged someone,afraid academic probation
working problem set,research poster won best presentation,balance work study,course prerequisite clearly stated,worried research project deadline
discussion forum post due,got accepted leadership program,family attend graduation,professor cancelled office hour without warning,scared calculus placement test
office hour pm,finally mastered differential equation,got rejected dream internship program,campus transportation system unreliable,handle pressure
course material blackboard,group project got highest mark,professor criticized work publicly,research proposal rejected unfairly,anxious professor recommendation
study room reserved tonight,professor recommended fellowship,understand advanced mathematics,academic calendar change constantly,afraid making wrong career choice
professor gave feedback assignment,got dream job offer before graduation,group member contribute equally,professor play music during study time,worried family financial struggle
campus gym open am,community service project recognized,got lower grade expected final,campus bookstore overcharge everything,scared comprehensive examination
need complete course evaluation,won annual writing competition,get competitive course,group presentation grade unfair,understand material
laboratory session went well,professor said potential phd,research funding application denied,course website never updated,anxious lab experiment result
textbook reading tomorrow,mobile app got featured tech news,failed meet professor expectation,professor return assignment promptly,afraid prepared enough
class size student,received student excellence scholarship,cope academic pressure,campus gym equipment always broken,worried social anxiety class
professor us powerpoint slide,got accepted medical school,paper got rejected student conference,scholarship reduced without explanation,scared thesis committee meeting
study break scheduled lunch,poem published literary magazine,get selected leadership program,registration deadline unreasonable,balance work study
assignment instruction clear,won business plan competition,professor seem like idea,professor discriminates certain student,anxious medical school interview
need review lecture note,professor invited research conference,complete assignment due illness,campus event poorly organized,afraid disappointing mentor
campus parking permit expires soon,volunteer work got medium coverage,peer review comment devastating,exam paper graded incorrectly,worried standardized test score
discussion section meet twice weekly,got perfect score comprehensive exam,got excluded important group project,course material outdated,scared research presentation
professor hold review session,dance performance received standing ovation,meet gpa requirement,professor provide adequate feedback,chose wrong university
course credit hour,won photography contest,creative work heavily criticized,campus housing assignment system broken,anxious fellowship application
study schedule organized,professor said thesis publication ready,afford study abroad program,internship coordinator incompetent,afraid meeting deadline
campus event calendar updated,invention got patent approval,professor questioned research method,library study room always dirty,worried impostor syndrome
need return library book,received university merit award,got lower expected mcat score,professor assigns group work unfairly,scared oral examination
professor teach three section,got accepted summer research fellowship,advisor seems disappointed progress,campus construction noise disrupts class,make new friend
assignment rubric detailed,musical composition premiered concert,get lab wanted,academic record multiple error,anxious laboratory practical exam
