Text,Emotion
 The exam hall was too hot and uncomfortable.,Angry
professor said potential phd,Joy
The printer is out of paper again.,Neutral
professor explained concept clearly,Neutral
Lab was locked,Angry
Professor refused collaboration outright,Sad
 I hate having to repeat the same thing again and again.,Angry
They changed the plan without telling me.,Angry
worried family financial struggle,Fear
Felt angry after internship rejection,Angry
frustrated with the constant pressure to perform.,Angry
scared comprehensive examination,Fear
academic record multiple error,Angry
dining hall food quality absolutely terrible,Angry
I am got selected to 4th year.,Joy
need register workshop,Neutral
I lost my wallet today I am vey sad about that.,Sad
campus security treat student poorly,Angry
Struggling to understand course material,Sad
My research topic was reject again and again.,Sad
Scared that my English is not good enough,Fear
made new friend study group,Joy
Attended academic colloquium,Neutral
Study group helped me understand difficult concepts,Joy
Got selected for prestigious research fellowship,Joy
lost part time job due poor grade,Sad
campus activity fee keep increasing,Angry
roommate studying final,Neutral
professor unrealistic expectation,Angry
fed up with having to do everything alone.,Angry
course credit hour,Neutral
Felt enraged after repeated rejection,Angry
Found good food today.,Joy
Afraid of failing research experiment,Fear
I do not like some batch mates.,Angry
Reviewed data collection methods,Neutral
"I waited 30 minutes for the group call, and no one showed up!!!! ",Angry
campus technology support completely useless,Angry
Attended faculty presentation,Neutral
Friends surprised me on my birthday .,Joy
Academic achievements creating positive impact,Joy
afraid letting team,Fear
Research proposal failed committee review,Sad
Academic journey reaching infinite fulfillment,Joy
hi I am from galle,Neutral
anxious peer collaboration,Fear
Completed thesis proposal,Neutral
Worried about not having enough practice,Fear
I feel very mad about my friends.,Angry
Lost my hostel room key,Sad
professor grade based personal bias,Angry
study guide available online,Neutral
course material blackboard,Neutral
Completed clinical research,Neutral
worried maintaining scholarship requirement,Fear
I am working on my report right now.,Neutral
I am 2 nd year student,Neutral
Got rejected from dream graduate program,Sad
Reviewed statistical methods,Neutral
Classmate challenged me aggressively,Angry
Fell sick during mid semester week,Sad
Completed systematic analysis,Neutral
Clothes are missing in hostel.,Angry
Reviewed reliability tests,Neutral
Missed the last shuttle bus to hostel,Sad
Could not attend the farewell night,Sad
I am glad my presentation went smoothly,Joy
artistic work displayed gallery,Joy
scared thesis defense presentation,Fear
professor invited co author paper,Joy
professor provide adequate feedback,Angry
attending office hour tomorrow,Neutral
Lost temper during lab session,Angry
Fear of not being accepted in further studies,Fear
Got accepted to top-choice graduate program,Joy
Instructor refused to extend deadline,Angry
Reviewed grading rubric,Neutral
Scared of poor grades,Fear
professor offered independent study opportunity,Joy
furious at having to work overtime without pay.,Angry
professor replied email,Neutral
Discovered my passion for this subject,Joy
Hostel room got flooded during heavy rain,Sad
Fear that my research wonot be original,Fear
get program wanted,Sad
course scheduling completely illogical,Angry
They never take our feedback seriously.,Angry
Nervous about group evaluation,Fear
Scared of the viva panelâs questions,Fear
Had a great discussion with our superisor.,Joy
Completed comprehensive exam,Neutral
Group members are very irresponsible.,Angry
"My classmates talk loudly during lectures, it is distracting",Angry
Academic journey exceeded all expectations,Joy
Study methods proving entirely useless,Sad
Reviewed research instruments,Neutral
Completed descriptive analysis,Neutral
Had a great time with friends yesterday ngiht.,Joy
Completed diagnostic research,Neutral
worried chemistry lab safety,Fear
 I hate the constant pressure from lecturers.,Angry
Research conclusions completely unfounded,Sad
worried maintaining scholarship requirement,Fear
Felt frustrated with project obstacles,Angry
Research proposal received enthusiastic approval,Joy
balance work study,Fear
professor provides office hour,Neutral
I went to AR office to sign bursary.,Neutral
assignment rubric detailed,Neutral
Classmate ignored my suggestions,Angry
disappoint parent,Fear
Instructor ignored my improvement efforts,Angry
research poster won best presentation,Joy
meet gpa requirement,Sad
What if I fil the exam ?,Fear
worried standardized test score,Fear
So much work no time even self study something new,Angry
course curriculum completely outdated,Angry
Study abroad experience exceeding expectations,Joy
My group mates were very supportive today,Joy
What if my research idea get rejected?,Fear
Submitted literature review,Neutral
Missed the chance to perform at talent show,Sad
Reviewed academic standards,Neutral
Felt frustrated with lack of guidance,Angry
Completed collaborative study,Neutral
I feel so lonely even I surrounded by people.,Sad
Attended academic meeting,Neutral
Completed literature search,Neutral
Thesis proposal was enthusiastically received,Joy
got honor program,Joy
Professor offered position as university fellow,Joy
Reviewed research ethics,Neutral
Completed longitudinal study,Neutral
anxious peer evaluation feedback,Fear
professor invited international conference,Joy
Missed the computer lab practical session,Sad
I go to town,Neutral
Research direction lacks focus entirely,Sad
Academic journey opening unexpected paths,Joy
Academic future looks increasingly uncertain,Sad
Lost my part-time campus job,Sad
I stopped relationship and my heart borken into pieces ,Sad
Completed case study research,Neutral
 The group chat is full of nonsense and no work gets done.,Angry
I woke up and made my bed.,Neutral
get good grade,Fear
study group disbanded before final,Sad
professor said work lack depth,Sad
my research idea was bad .,Sad
won photography contest,Joy
Research collaboration opportunity appeared,Joy
Got selected for world academic forum,Joy
Instructor criticized my teamwork,Angry
textbook reading tomorrow,Neutral
I get fear when unaanounced exam held,Fear
Completed ethnographic study,Neutral
Let s meet near the canteen.,Neutral
Scared of faculty criticism,Fear
got accepted graduate school,Joy
I hate this whole universe.,Angry
The library is almost empty today.,Neutral
Team members not working properly I hate that.,Angry
Worried that I wonot get good grades,Fear
study material comprehensive,Neutral
Felt mistreated by department staff,Angry
Scared of repeating a year,Fear
Lost my place in hostel allocation,Sad
They keep ignoring me.,Angry
We spent a cheerful afternoon in the garden,Joy
Scolded by lecturer today.,Sad
feel left out from the batch.,Sad
Professor questioned my intellectual capacity,Sad
mad at how some students cheat and still get good grades.,Angry
Stressed about exam results,Fear
What if my research data is wrong,Fear
my crush rejected me.,Sad
Got enraged by uncooperative lab partner,Angry
volunteer work got medium coverage,Joy
scholarship get revoked,Fear
got perfect score comprehensive exam,Joy
Worried about competing with high achievers,Fear
Professor refused collaboration request,Angry
Anxious that I am not prepared enough,Fear
Could not attend a funeral back home,Sad
Research findings published in top journal,Joy
Worried about failing upcoming exams,Fear
Exam are the saddest situation.,Sad
scared comprehensive exam failure,Fear
professor criticized work publicly,Sad
I feel so lonely even I surrounded by people.,Sad
transcript processing delay,Angry
Got a supporitve superivsor.,Joy
The lecturer changed the assignment deadline without telling us!,Angry
I am going to study today.,Neutral
Completed homework assignment,Neutral
Academic achievements feel hollow now,Sad
I got highest marks for exams.,Joy
what if i lose the match ? I can't handle it,Fear
Got upset over course cancellation,Angry
professor wrote great recommendation letter,Joy
campus bookstore accepts return,Neutral
They keep postponing the exams without notice.,Angry
Some seniors are really annoying.,Angry
Academic network creating positive global impact,Joy
graduation requirement changed unexpectedly,Angry
What if I can't answer the viva questions.,Fear
 waiting outside the classroom.,Neutral
Scheduled meeting with academic advisor,Neutral
I am greatful for what I have now.,Joy
I donot like you.,Angry
Got frustrated with unfair grading,Angry
campus security patrol night,Neutral
worried maintaining gpa,Fear
Classmate undermined my efforts repeatedly,Angry
won annual writing competition,Joy
Had back-to-back lectures,Angry
Nervous about final results,Fear
Worried about internship evaluation,Fear
professor teach multiple subject,Neutral
We have two lectures in same day,Neutral
Reviewed research applications,Neutral
I failure in love.,Sad
Lost everything except my life .,Sad
Could not print assignment on time,Sad
Nervous about internship interview,Fear
Our movie night in the hostel was fun,Joy
won business plan competition,Joy
Classmate mocked my presentation,Angry
afraid making wrong career choice,Fear
advisor seems disappointed progress,Sad
 The exam questions are unfair and confusing.,Angry
make new friend,Fear
scared thesis submission deadline,Fear
Professor criticized my literature review,Sad
Felt provoked by peer competition,Angry
 The cafeteria food is disgusting.,Angry
anxious laboratory practical exam,Fear
study schedule organized,Neutral
I have no beauiful clothes to wear .,Sad
Got invitation to academic enlightenment,Joy
I hate this acedamic stress,Angry
Instructor undervalued my work,Angry
 The hostel food is always cold and tasteless.,Angry
"Got a low grade did not expect it ,",Sad
Submitted final project outline,Neutral
I donot like this university culture.,Angry
research changed university policy,Joy
completed tutorial questions,Neutral
Got annoyed at unfair participation grading,Angry
Professor refused to reconsider my grade,Angry
 The study materials are outdated and useless.,Angry
I am sitting in the last row.,Neutral
They held lectures even in poyadays.,Angry
Study strategies completely ineffective,Sad
research hypothesis proven wrong,Sad
received student leadership award,Joy
Fear that my presentation wonot be interesting,Fear
anxious laboratory safety protocol,Fear
graduation day finally,Joy
The timetable has a small change.,Neutral
Attended research training,Neutral
Could not join the society meeting,Sad
Academic mentor lost confidence in me,Sad
 glad we completed our assignment on time,Joy
Got upset over course cancellation,Angry
professor give contradictory instruction,Angry
We took part in a friendly sports match,Joy
Missed the convocation of a close friend,Sad
Reviewed exam study guide,Neutral
Nervous about research publication,Fear
Attended scholarly conference,Neutral
Research project got rejected by committee,Sad
Got accepted to competitive academic institute,Joy
Got invitation to join international advisory board,Joy
Academic standing is now in jeopardy,Sad
Completed skills assessment,Neutral
dormitory wifi working fine today,Neutral
when I fail my exam.,Sad
registration deadline unreasonable,Angry
meet admission requirement,Sad
They said I am not a good person.,Sad
I had a bath,Neutral
heating system dorm never work,Angry
Got furious over administrative mishandling,Angry
discussion forum post due,Neutral
get accepted graduate seminar,Sad
Professor refused to acknowledge my progress,Angry
I have no money to dress well.,Sad
Classmate dismissed my ideas repeatedly,Angry
Research collaboration expanding globally,Joy
I ate fruites,Neutral
The campus wifi is constantly cutting out.,Angry
professor make student feel incompetent,Angry
Won first place in academic competition,Joy
Had to redo the work,Angry
Attended research meeting,Neutral
Academic achievements completely meaningless,Sad
Superviosr rejected my research topic.,Sad
My essay was appreciated by the lecturer,Joy
I might not graduate on time,Fear
I can not live I want to go home.,Sad
professor available consultation,Neutral
 I am happy because I today our lecture was canceld.,Joy
Completed psychological study,Neutral
Peer review feedback was overwhelmingly negative,Sad
got selected elite academic society,Joy
Professor recommended me for editorial position,Joy
chose wrong university,Fear
Submitted research manuscript,Neutral
Attended research symposium,Neutral
I wrote my journal.,Neutral
Completed translational research,Neutral
Study strategies failing consistently,Sad
Got invitation to join editorial board,Joy
adapt university life,Fear
Felt enraged by repeated project obstacles,Angry
Group members ignored my suggestions completely,Sad
Exited to spend time with my family.,Joy
Submitted analytical study,Neutral
 so angry that the timetable changes last minute.,Angry
Completed cross-sectional analysis,Neutral
Scared to start the project,Fear
Got a low grade,Sad
I am going to get my attendance marked.,Neutral
I went to the ATM,Neutral
Submitted field research,Neutral
my hostel is sanghamitta hostel,Neutral
Worried about internship performance,Fear
Lab experiment results exceeded expectations,Joy
Had a lecture in the afternoon,Neutral
Got upset over administrative errors,Angry
Got invitation to lead international initiative,Joy
professor said essay brilliant,Joy
Professor offered position as research director,Joy
bought new notebook,Neutral
System crashed during submission,Angry
university raised tuition fee,Angry
Scared of poor project feedback,Fear
Lecturer criticized my work publicly,Sad
 The lecturer never respects our time.,Angry
Attended research presentation,Neutral
Lost my new pen drive,Sad
Got irritated by continuous criticism,Angry
Those senior are very aggressive towards to us.,Angry
Academic advisor recommended program change,Sad
Instructor refused to supervise project,Angry
Scared of disappointing my classmates,Fear
 I hate the politics between student groups.,Angry
Academic writing getting published recognition,Joy
study break scheduled lunch,Neutral
scared thesis committee meeting,Fear
Today module is good.,Joy
The campus event today was exciting,Joy
Group project earned top marks,Joy
Lecturer blamed on us .,Sad
Team members donot work well.,Angry
Participated in class debate prep,Neutral
anxious laboratory safety protocol,Fear
Study techniques finally paying off,Joy
The campus facilities are falling apart.,Angry
Final viva went poorly,Sad
Got frustrated with course coordination,Angry
I was so happy to complete my task early,Joy
musical composition premiered concert,Joy
I lost my first class.,Sad
Professor offered collaboration on book project,Joy
understand advanced concept,Fear
Scared to voice opinion in class,Fear
Got irritated over exam scoring error,Angry
Attended academic seminar,Neutral
Worried about academic recognition,Fear
Rain ruined my only pair of shoes,Sad
Professor criticized my presentation publicly,Angry
Hostel had no water for bathing,Sad
anxious thesis proposal defense,Fear
 I hate how unfairly marks are distributed.,Angry
I got positive feedback from my supervisor,Joy
I lost my lab coat.,Sad
Missed my family for Sinhala New Year,Sad
I will send you the PDF later.,Neutral
 sick of waking up early for boring lectures.,Angry
Failed my mid exam,Sad
Won the competion today with best performance.,Joy
Attended professional conference,Neutral
Felt frustrated with conflicting instructions,Angry
Professor offered position as wisdom incarnate,Joy
received presidential scholarship,Joy
Reviewed measurement tools,Neutral
 The hostel rules are so unfair.,Angry
Attended academic conference,Neutral
Instructor showed favoritism openly,Angry
Organized notes from yesterday's class,Neutral
we planing to go on a trip,Joy
Afraid of confronting professor,Fear
My best firend got sick very badly.,Sad
academic performance keep declining,Sad
got criticized during oral examination,Sad
need schedule meeting,Neutral
register class needed,Sad
Could not participate in Avurudu festival,Sad
Reviewed academic frameworks,Neutral
failed in a project viva.,Sad
I go to temple,Neutral
I did not faced well for my exams.,Sad
I am very happy today.,Joy
need attend mandatory session,Neutral
Unfair marking scheme,Angry
need submit final portfolio,Neutral
Classmate intentionally misled me,Angry
won first place science fair,Joy
Submitted book review,Neutral
Attended academic forum,Neutral
 fed up with having to do everything alone.,Angry
Got selected for competitive academic exchange,Joy
scared future career prospect,Fear
Nervous about exam preparation,Fear
I feel blessed today.,Joy
 so done with this nonsense.,Angry
Academic network creating lasting partnerships,Joy
Missed the application deadline for scholarship,Sad
afraid meeting advisor expectation,Fear
I forgot one submission date of project report.,Fear
Felt left out in the group,Sad
need complete prerequisite,Neutral
afraid chose wrong major,Fear
graduate time,Fear
 No one respects personal space in the hostel.,Angry
anxious professor expectation,Fear
group discussion went well,Neutral
Got the highest marks in last semester.,Joy
I was good at my viva,Joy
Please do not shouting because I can not study well,Angry
Academic goals seem completely unrealistic,Sad
Got accepted to most prestigious academic circle,Joy
get selected research conference,Sad
Missed my lecture due to traffic jam,Sad
campus housing assignment system broken,Angry
Professor praised my research paper,Joy
Academic advisor recommended program withdrawal,Sad
Professor offered research assistant position,Joy
Nervous about academic competition,Fear
I enjoyed the music festival near the university,Joy
I enjoyed watching the play at the auditorium,Joy
Classmate sabotaged my project timeline,Angry
understand material,Fear
studying common room,Neutral
 I faced viva very well.,Joy
selected student representative,Joy
Classmate challenged me unfairly,Angry
Printed readings for next week,Neutral
Felt provoked by peer questioning,Angry
worried finding job after graduation,Fear
Research findings transforming understanding,Joy
Found perfect balance between studies and life,Joy
I missed my mom ,Sad
Reviewed course materials,Neutral
Academic collaboration leading to publications,Joy
Got cut from academic presentation,Sad
Had a great party time with friends yesterday.,Joy
Nervous about thesis evaluation,Fear
campus facility maintenance request ignored,Angry
"My hands are trembling, and my heart is racing. ",Fear
professor cancelled class without notice,Angry
Got invitation to keynote academic conference,Joy
Missed a family function in my village,Sad
What if my exam answers are wrong.,Fear
Some friends talked behind our back and pretended like nothing happened.,Angry
going library study,Neutral
The lab session ended early.,Neutral
Scared to approach supervisors for help,Fear
I was proud to help a friend with homework,Joy
Had to submit project idea again and again.,Angry
fail licensing exam,Fear
afraid intellectually capable,Fear
The lecture this morning was very interesting,Joy
The seminar starts in an hour.,Neutral
Participated in peer tutoring,Neutral
course registration priority system unfair,Angry
missing home family much,Sad
Academic mentor ended our relationship,Sad
Registered for next semester classes,Neutral
I got B+ for a difficult subject.,Joy
Reviewed academic literature,Neutral
Professor refused collaboration request,Sad
Worried about low GPA,Fear
Research methodology yielding great results,Joy
 return the book tomorrow.,Neutral
Completed meta-analysis,Neutral
Worried about failing assignments,Fear
Classmate sabotaged lab preparation,Angry
Academic conference presentation went perfectly,Joy
Nervous about experimental errors,Fear
The exhibition is next week.,Neutral
Research methodology opening new dimensions,Joy
Classmate belittled my suggestions,Angry
research proposal rejected unfairly,Angry
got selected research program,Joy
Anxious about managing stress,Fear
Professor offered position as research associate,Joy
Research findings enlightening entire world,Joy
Afraid of academic shortcomings,Fear
Completed experimental research,Neutral
Professor invited me to join research team,Joy
Afraid of public speaking,Fear
Could not print posters for my club,Sad
understand material,Fear
Academic future completely hopeless now,Sad
Felt furious after internship rejection,Angry
If people blame me for something ,Fear
Professor recommended me for fellowship,Joy
The canteen menu looks different today.,Neutral
Afraid of technical failures during presentation,Fear
campus event happen weekly,Neutral
Worried I wonot be able to answer questions well,Fear
Faced on an accident and I missed my exams.,Sad
anxious research ethic approval,Fear
Afraid of advisors feedback,Fear
thesis outline completely criticized,Sad
 The lab schedules are always clashing.,Angry
Lost my purse at the railway station,Sad
project timeline changed arbitrarily,Angry
Completed skills workshop,Neutral
scared thesis defense presentation,Fear
Completed technological research,Neutral
Got repeated in the exam,Sad
Afraid of being left behind academically,Fear
Got accepted to prestigious academic society,Joy
roommate keep playing loud music,Angry
study session scheduled saturday,Neutral
Got selected for eternal academic fame,Joy
course credit system make sense,Angry
The library closes at 6 pm.,Neutral
professor explains assignment clearly,Neutral
Enjoyed the field trip today.,Joy
Academic advisor lost faith completely,Sad
Spreading rumors about what I didnot do,Angry
My best firend got sick very badly.,Sad
worried impostor syndrome,Fear
professor teach advanced course,Neutral
My grades are low in past semesters.,Sad
study group meet regularly,Neutral
Completed practice problems,Neutral
failed course needed graduation,Sad
Lecturer praised our team work.,Joy
got excluded important group project,Sad
I donot like this univeristy.,Angry
I am feel good today.,Joy
Got cut from research assistantship,Sad
Worried about presentation logistics,Fear
afraid academic performance evaluation,Fear
need check graduation requirement,Neutral
Got selected for ultimate academic recognition,Joy
 The library is always overcrowded.,Angry
grade disappointing parent,Sad
Professor ignored my questions repeatedly,Angry
Completed content analysis,Neutral
Portal was down again,Angry
Research proposal needs major revision,Sad
 frustrated with the constant stress.,Angry
I am reading the course material now.,Neutral
I study ,Neutral
campus gym equipment always broken,Angry
Anxious about the exam format changes,Fear
I am glad I joined todaysworkshop,Joy
got negative feedback presentation skill,Sad
Academic mentor celebrating my milestones,Joy
office hour pm,Neutral
 The group leader never listens to anyone else.,Angry
Got selected for exclusive academic program,Joy
Had fight with someone.,Sad
Professor recommended me for ultimate recognition,Joy
Professor criticized my research design,Sad
professor doubt analytical ability,Sad
Got accepted to competitive research program,Joy
Professor openly criticized my ideas,Angry
Submitted field work report,Neutral
Got recognition for innovative research approach,Joy
Why is the admin always so slow to respond,Angry
Comprehensive exam results were disappointing,Sad
Had lunch at student cafeteria,Neutral
I found a delious restaurant near mihintale.,Joy
Lecturer give marks for only specific students.,Angry
I felt joyful after finishing my tasks early,Joy
I am studying physics.,Neutral
Professor invited me to shape academic future,Joy
afford necessary lab material,Sad
I was delighted to see my name on the list,Joy
understand complex theory,Fear
Thesis committee expressed serious concerns,Sad
Attended academic forum,Neutral
Nervous about oral presentation,Fear
Received positive feedback from supervisor,Joy
got criticized lack critical thinking,Sad
I have best friends with me in univesity.,Joy
Fear of my project being rejected,Fear
 writing my lab report.,Neutral
when I fail my exam.,Sad
advisor never responds important email,Angry
I got ineligible without knowing.,Sad
Academic progress completely stagnant,Sad
Got excluded from all opportunities,Sad
I got rejected from my affair.,Sad
Instructor refused to provide guidance,Angry
Got selected for prestigious academic delegation,Joy
Attended scholarly seminar,Neutral
Got accepted to world-renowned academic institute,Joy
got research paper,Sad
Scared of giving wrong presentation,Fear
scared research presentation,Fear
I am the best student in our batch.,Joy
Lost my ATM card today.,Sad
Completed health research,Neutral
The exam hall is ready.,Neutral
library study room always dirty,Angry
Completed data collection,Neutral
Lost the inter university debate competition,Sad
The open mic night was really joyful,Joy
Research collaboration solving world problems,Joy
Fell sick on the sports day,Sad
get good grade,Fear
checked exam timetable,Neutral
upload the notes tonight.,Neutral
I hate being blamed for something I didnot do.,Angry
Found the perfect study group members,Joy
Anxious about the upcoming exam schedule,Fear
Attended tutorial session,Neutral
got rejected prestigious summer program,Sad
Worried about exam performance,Fear
Got irritated by administrative delays,Angry
Completed comparative study,Neutral
Worried about the presentation,Fear
Unfair marking scheme,Angry
Got irritated by uncooperative team members,Angry
Scored well in the quiz,Joy
advisor scheduled conflicting meeting,Angry
I am so tired but roomates loud ,Angry
Took notes during lecture,Neutral
Submitted midterm reflection,Neutral
Submitted developmental study,Neutral
Professor disappointed beyond measure,Sad
Afraid of disappointing mentors,Fear
professor accommodate illness absence,Angry
campus transportation system unreliable,Angry
Picked up textbook from bookstore,Neutral
professor provides detailed feedback,Neutral
Had a great time in the library group study,Joy
Completed online quiz,Neutral
My research topic was accepted .,Joy
worried finding job after graduation,Fear
I hate this univeristy culture.,Angry
Fear of failing practical demonstrations,Fear
anxious medical school interview,Fear
Missed my family,Sad
Got rejected from doctoral program,Sad
Always there is no power when e have urgent work to do.,Angry
Classmate intentionally delayed submission,Angry
Research methodology being adopted by others,Joy
Academic progress completely reversed,Sad
Professor recommended me for divine academic status,Joy
Professor criticized my methodology severely,Sad
